reviewerID	asin	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	lable	psubCat
A33CL9Y8Y90652	B001DBNCC8	1	1.9	500000	1.136159639	0.947368421	4.616275555	1	39	0.367427947	0.4	0.377777778	1	not a review	Headsets
A1JQB7Y2Q7UJLM	B001DBNCC8	1	1.166666667	500000	1.04246568	10.64285714	6.256108126	1	112	0.50817478	0	0.422222222	3	TRUE	Headsets
A18YMSP0D4QKE4	B001DBNCC8	1	1.789473684	500000	0.812957351	5.264705882	10.92159162	1	84	0.480858155	0.107692308	0.387706856	3	TRUE	Headsets
A3NK6WKA7GKRZS	B001DBNCC8	1	3	500000	0.869226987	0.866666667	2.061552813	1	104	0.530411946	0.127272727	0.4	8	not a review	Headsets
A2RF6YGMN08F1I	B001DBNCC8	1	3.181818182	500000	0.279941685	0.742857143	20.37793735	1	57	0.319782535	0.116666667	0.37037037	0	not a review	Headsets
A32HSNCNPRUMTR	B001DBNCC8	1	1.370967742	500000	1.401630291	1.494117647	19.62311518	0.8	63	0.37236469	0.2	0.404040404	2	not a review	Headsets
A2COVTBD2FOKL9	B001DBNCC8	1	1.2	500000	1.485461956	1.75	4.890807704	0.6	114	0.36106574	0.314285714	0.400728597	10	TRUE	Headsets
A3NSTC73P8F9P3	B001DBNCC8	1	1.666666667	500000	0.583095189	2.375	15.26433752	1	57	0.360688219	0.14	0.401433692	0	not a review	Headsets
A16J2L207DI5WU	B001F7VN6M	6	6	0.1	1.885618083	0.166666667	3.16227766	0.2	185	0	0.35	0.444444444	20	not a review	Unlocked Cell Phones
AIH05X9KBQWX4	B001F7VN6M	7	7.6	83.5	1.18537954	0.078947368	13.72443077	0.2	28	0.187120297	0.4	0.349206349	0	FALSE	Unlocked Cell Phones
A1SX9PHJWTDMF9	B001F7VN6M	1	1.096153846	500000	1.067728004	0.964912281	28.86545295	0.2	99	0.187120297	0.4	0.433333333	8		Unlocked Cell Phones
A1SHHQSPOWR00F	B001F7VN6M	4	1.153846154	442.3333333	1.53830715	13.84166667	24.92281576	1	57	0.22164816	0.4	0.351851852	8		Unlocked Cell Phones
A9DW3IODLLHJG	B001F7VN6M	5	3	90.5	0.895040442	0	6.304760106	0.8	30	0.22164816	0.228571429	0.396825397	2		Unlocked Cell Phones
A2OLUJE0027KXH	B001F7VN6M	3	5	0.25	1.496662955	0.6	3.366501646	0.6	26	0.167705098	0.033333333	0.311111111	0		Unlocked Cell Phones
A1PKNP2Y807GSA	B001F7VN6M	1	2	500000	1.154700538	0.166666667	1	0.8	46	0.201736646	0.333333333	0.375478927	0		Unlocked Cell Phones
A37TZYBKKF2J51	B001F7VN6M	1	3	500000	1.154700538	0.166666667	1.732050808	1	19	0.098954139	0.52	0.222222222	0		Unlocked Cell Phones
A2V9DTXTQ5YIMK	B001GX6MJ8	1	1.328125	500000	1.030352511	7.682352941	48.462887	0.8	237	0.703529443	0.014285714	0.366925065	20	FALSE	Headsets
A2OD0IW7C628LU	B001GX6MJ8	1	1.333333333	500000	0.276385399	6.916666667	6.839428176	0.8	123	0.687260825	0.008333333	0.385620915	7	TRUE	Headsets
AB5N4A5118C7S	B001GX6MJ8	1	1.416666667	500000	1.409311594	3	2.042941779	0.4	169	0.616231565	0.2	0.419444444	7		Headsets
A1HWV9AYUMH3HV	B001GX6MJ8	2	1.764705882	359	0.760847481	0.466666667	14.01737265	1	33	0.411354702	0.3	0.287581699	0		Headsets
ASVBQ69SB38EY	B001GX6MJ8	1	1.3125	500000	1.655232889	1.357142857	12.15154954	0.8	140	0.686791427	0	0.404040404	14		Headsets
A3OXHLG6DIBRW8	B001GX6MJ8	1	1.354166667	500000	0.684409948	4.801709402	176.3484017	0.8	211	0.539877032	0.030769231	0.387596899	3		Headsets
A1U7LS93I03MFW	B001GX6MJ8	1	1.242424242	500000	0.938311418	1.902439024	9.867515413	0.8	315	0.654258352	0.3	0.419127989	18	FALSE	Headsets
ALF8RLVBLHV6O	B001GX6MJ8	1	1.058823529	500000	1.343709625	7.555555556	2.738170531	0.8	224	0.665992635	0.054545455	0.393162393	12		Headsets
ATFBVUXDIRXT6	B001GX6MJ8	1	1.252631579	500000	0.812913918	26.16806723	34.09609688	0.8	282	0.703529443	0.2	0.376417234	16		Headsets
A3JUHP1E3WUHEA	B001GX6MJ8	1	1.103448276	500000	0.825943799	21.97916667	28.1558534	1	358	0.599344019	0.25	0.391111111	18	FALSE	Headsets
A3T3DH0RKYAXUL	B001GX6MJ8	1	1.333333333	500000	1.414213562	14.375	0.843274043	0.2	373	0.616231565	0.6	0.37037037	19	FALSE	Headsets
A2332OKP6LJCKD	B001GX6MJ8	1	15	500000	1.045625809	0.2	11.71537451	1	27	0.258774585	0.230769231	0.319444444	0	not a review	Headsets
A22W400JZRSOVN	B001GX6MJ8	1	2.090909091	500000	0.563542669	0.52173913	13.37090093	1	173	0.620851896	0.221052632	0.375	9		Headsets
A6PGY3XAJSYH2	B001GX6MJ8	1	1.178571429	500000	0.979120874	0.515151515	11.87969384	0.8	95	0.525382025	0.009090909	0.391111111	1		Headsets
A3BI8BKIHESDNQ	B001GX6MJ8	1	2.689655172	500000	1.07821961	1.153846154	23.3691464	0.8	78	0.475766509	0.008695652	0.41607565	2		Headsets
ALNAXN9SFT7BB	B001GX6MJ8	1	1.466666667	500000	1.289660087	0.454545455	6.520565756	1	83	0.537068655	0.213333333	0.368686869	1		Headsets
AHRNDSKWH1YBT	B001GX6MJ8	1	1.241935484	500000	0.857929588	6.25974026	20.275374	0.8	131	0.665741742	0.057142857	0.358730159	8		Headsets
A3CPSTC1T4YF9X	B001GX6MJ8	1	2.9	500000	1.322088932	0.172413793	6.431951492	0.8	97	0.431376965	0.00952381	0.333333333	4		Headsets
A3A15L96IYUO6V	B001GX6MJ8	1	1.25	500000	0.919923096	2.466666667	26.73691269	0.8	359	0.666024488	0.15	0.395663957	17	FALSE	Headsets
AEJHU5JHKQ9OV	B001GX6MJ8	1	1.625	500000	1.06587742	0.384615385	7.349532298	1	233	0.617311831	0.25	0.364842454	13		Headsets
A28UMA3GW9L124	B001GX6MJ8	1	1.483870968	500000	1.270949216	4.298913043	38.92799725	0.6	138	0.506236145	0	0.392009988	4		Headsets
A1I30AQPN08TJL	B001GX6MJ8	1	1.235294118	500000	1.734594576	1.873015873	15.58834628	1	94	0.65281162	0.228571429	0.393162393	10		Headsets
AKHMJ6496YCZ6	B001GX6MJ8	1	1.5	500000	1.374368542	3.166666667	0.957427108	0.2	45	0.280139717	0.6	0.416666667	1		Headsets
A27FJMTTINZO3R	B001GX6MJ8	1	2.666666667	500000	1.316585902	0.375	5.981452815	0.2	201	0.601355901	0.592	0.409356725	7		Headsets
A17MPE1KHHMN7F	B001GX6MJ8	1	1	500000	1.105541597	1.333333333	1.732050808	1	28	0.255376959	0.222222222	0.333333333	0		Headsets
A2USK85WGL8AVN	B001GX6MJ8	1	2.571428571	500000	1.603429966	19.61111111	2.774519631	1	112	0.573186949	0.233333333	0.353535354	13		Headsets
A11I1I9QLMAM1A	B001GX6MJ8	2	1.354368932	118	0.741563115	9.344086022	87.03152729	0.8	383	0.690267877	0.01	0.401433692	10	FALSE	Headsets
A3FS3FJPD3RJTD	B001GX6MJ8	1	1.133333333	500000	1.07349315	3.564705882	25.81765115	1	122	0.615255708	0.222222222	0.371527778	5		Headsets
A2V0I904FH7ABY	B001GX6MJ8	1	1.415584416	500000	0.794200848	5.908256881	33.250632	0.8	661	0.690267877	0.12	0.374453193	20	FALSE	Headsets
A2IDM8ORLB0349	B001LYRBCO	1	1.428571429	500000	0.458257569	0.3	4.093299652	0.8	32	0.319142369	0.05	0.285714286	0		Unlocked Cell Phones
A33Q0DN8EOP52X	B001LYRBCO	1	1.666666667	500000	1.469693846	0	0.600925213	0.8	28	0.459906939	0.066666667	0.361111111	0		Unlocked Cell Phones
A31XF91YCEX4CP	B001LYRBCO	1	2	500000	1.017410422	1.818181818	5.744562647	1	197	0.607445532	0.4	0.38989899	20		Unlocked Cell Phones
AR3D6FDZZ1D57	B001LYRBCO	1	1.545454545	500000	0.235294118	0.294117647	10.22818178	0.8	53	0.519504505	0.04	0.329501916	3		Unlocked Cell Phones
A38FIQ4QJ2522J	B001LYRBCO	1	1.625	500000	0.461538462	4.307692308	5.47865175	0.8	230	0.559657969	0.2	0.386890488	0		Unlocked Cell Phones
A1GIHV3V7LW85B	B001LYRBCO	1	1.090909091	500000	0.640095479	1.5	4.138777185	0.8	498	0.607445532	0.1	0.379667117	20	FALSE	Unlocked Cell Phones
A36QF02E5C96EH	B001LYRBCO	1	2.333333333	500000	1.385051388	0.285714286	1.013793755	0.6	54	0.559657969	0.233333333	0.377777778	1		Unlocked Cell Phones
A3OARAMZP1GKFU	B001MRZY3S	1	1.666666667	500000	1.2	0.6	1.715938357	1	341	0.670284204	0.3	0.400226757	14	FALSE	Unlocked Cell Phones
A2AF0NOCM71J0B	B001MRZY3S	1	1.366972477	500000	0.992063456	4.503355705	46.76961678	0.4	270	0.551430764	0.2	0.421134421	12		Unlocked Cell Phones
A3U7J5NNINSD2O	B001MRZY3S	2	3.5	646	1.372098051	0.071428571	1.5	0.6	25	0.277301018	0.15	0.333333333	1		Unlocked Cell Phones
AC8C9PT59CDW1	B001MRZY3S	2	3.875	501	0.682965012	0.274193548	20.25810023	0.6	46	0.290834291	0.1	0.418803419	0		Unlocked Cell Phones
A1VQHH85U7PX0	B001MRZY3S	1	1.258883249	500000	0.931294499	10.0766129	76.14921909	0.6	432	0.551430764	0.2	0.422764228	16	FALSE	Unlocked Cell Phones
A2YBML2AISHB6F	B001MRZY3S	1	2	500000	0.856956825	0	1.825741858	0.6	38	0.290834291	0.12	0.364444444	3		Unlocked Cell Phones
AGOWZ7HPTOTHQ	B001MRZY3S	2	1.1	245	0.717260629	2.363636364	8.50940656	1	432	0.670284204	0.4	0.41923436	25	FALSE	Unlocked Cell Phones
A3DHS97DOBZDBW	B001OD2OAQ	1	1.545454545	500000	0.499134198	0.588235294	6.972496144	0.8	519	0.693210967	0.2	0.355225114	39	FALSE	Unlocked Cell Phones
A1M49D5D6BE1JD	B001OD2OAQ	1	1.076923077	500000	0.823754471	2.214285714	5.270213272	1	76	0.511078515	0.066666667	0.358974359	7	not a review	Unlocked Cell Phones
A3FZ7Q5VJWB8ZN	B001OD2OAQ	1	1.4	500000	1.8516402	0.285714286	1.326649916	1	114	0.430107434	0.08	0.363363363	0		Unlocked Cell Phones
A4QAO1STU923O	B001OD2OAQ	3	2.333333333	682	0.989743319	1	0.942809042	0.8	36	0.16182395	0.15	0.339181287	0		Unlocked Cell Phones
A177XBNQ3ZPBBI	B001OD2OAQ	1	1.2	500000	0.70632067	1.033333333	10.67426812	1	214	0.693210967	0.4	0.364197531	25	FALSE	Unlocked Cell Phones
A4IZUHU8JF1F4	B001OD2OAQ	6	1.2	146.6	1.699673171	0.166666667	0.8	0.8	68	0.593819573	0.133333333	0.393162393	5	FALSE	Unlocked Cell Phones
A2WLNSZ9U0T1S3	B001OD2OAQ	2	1.940298507	28	1.041981215	12.21538462	77.19568455	1	544	0.656373643	0.4	0.380750177	30	FALSE	Unlocked Cell Phones
A1YR21EMXTH3A0	B001PUE69U	1	6.666666667	500000	0.994987437	0.15	3.04594448	0.6	26	0.186789793	0.155555556	0.409356725	1	not a review	Headsets
A1XFMXCDPBVJ5P	B001PUE69U	1	1.565217391	500000	0.725951908	1.25	11.52284654	0.8	83	0.322387342	0.1	0.385185185	2		Headsets
AU1UYKYNAZCJA	B001PUE69U	1	6	500000	1.118033989	0.222222222	6.708203932	1	55	0.271329379	0.275	0.358422939	1	TRUE	Headsets
A1QJWJBMLOH2TJ	B001PUE69U	1	1.875	500000	0.979795897	1	3.194233085	1	42	0.332368432	0.366666667	0.402777778	3		Headsets
A1KOMTFNKE4M91	B001PUE69U	1	1.333333333	500000	1.518405597	0.166666667	1.475729575	0.2	30	0.265165043	0.45	0.444444444	0	FALSE	Headsets
A2W128ZJIVBS2E	B001PUE69U	1	2.8	500000	0.349927106	0	6.529931087	1	25	0.245334513	0.44	0.333333333	0	TRUE	Headsets
A2Z380TCT1KU1D	B001PUE69U	1	1.888888889	500000	0.961634278	0.558823529	9.589410312	0.4	67	0.244452933	0.2	0.444444444	6	TRUE	Headsets
A2J1XGVKKMDB3N	B001PUE69U	1	1.666666667	500000	0.8	6	0.942809042	1	229	0.332368432	0.4	0.405555556	18	TRUE	Headsets
A1PD23YQGSRA61	B001PUE69U	1	4.2	500000	1.108613974	0.047619048	4.166533331	1	24	0.239850806	0.26	0.277777778	0	TRUE	Headsets
A3OCIWPCPXNN0I	B001PUE69U	1	1.44	500000	0.833333333	6.055555556	9.703277797	0.4	29	0.265165043	0.333333333	0.355555556	1	TRUE	Headsets
A3NT5JXI3WUHA8	B001PUE69U	1	1.25	500000	0.894427191	0.2	0.62915287	1	28	0.307658597	0.314285714	0.393162393	0	TRUE	Headsets
A2DF3IHJGCOK6F	B001QTW21Y	1	2.75	500000	0.899954085	0.181818182	1.547847968	0.6	31	0.347843596	0.00952381	0.405228758	2	not a review	Headsets
A1M7ZRHQG61RAV	B001QTW21Y	1	1	500000	1.316956719	2.25	0.774596669	0.4	54	0.348816092	0.270588235	0.358422939	3	TRUE	Headsets
AG5UQXJBG8QZK	B001QTW21Y	1	1.2	500000	0.759202798	0.75	2.782085549	0.6	289	0.463701506	0.066666667	0.405228758	4	TRUE	Headsets
AOD8USTJR95UI	B001QTW21Y	1	2.25	500000	0.41573971	1	3.363406012	0.8	63	0.40483103	0.228571429	0.351851852	4	not a review	Headsets
A2WAJNG94SP8IV	B001QTW21Y	1	2.428571429	500000	0.973702668	0.176470588	4.903143515	0.8	115	0.540247311	0.145454545	0.395424837	5	TRUE	Headsets
A1N05ZN86IMW21	B001QTW21Y	1	1.25	500000	1.549193338	0.2	1.030776406	0.8	109	0.641121612	0.138461538	0.347474747	8	TRUE	Headsets
A2M1GWZ1A7FAUT	B001QTW21Y	1	1.583333333	500000	1.216233685	29	3.077923181	0.4	208	0.543915976	0.242105263	0.363984674	7	not a review	Headsets
ADBHIPICHGAM8	B001QTW21Y	1	1.625	500000	0.969963093	1.5	5.842997946	0.6	88	0.520108932	0	0.382428941	4	TRUE	Headsets
A24SYO10RBABLT	B001QTW21Y	1	1.928571429	500000	0.995187322	0.444444444	8.166444534	1	59	0.381113405	0.346666667	0.387301587	2	not a review	Headsets
A3GI1H9B2QV4M0	B001QTW21Y	1	7.5	500000	0.54160256	0.4	6.184658438	1	62	0.55856576	0.4	0.333333333	6		Headsets
A38N5PS7SMVJNS	B001QTW21Y	1	2.5	500000	1.499629584	0.666666667	1.62788206	0.4	41	0.367949962	0.271428571	0.444444444	2	not a review	Headsets
A1I11OTBFB6AB5	B001QTW21Y	1	1.111111111	500000	1.959591794	1	4.015402444	0.2	244	0.515420735	0.4	0.407148407	12	TRUE	Headsets
A1NX2X9SKM65BF	B001QTW21Y	1	2.5	500000	1.788854382	3.3	1.258305739	0.2	85	0.418401905	0.43	0.361111111	7		Headsets
AJRPE6BWJQV41	B001QTW21Y	1	1.44	500000	0.976182411	12.61111111	9.723044791	0.8	188	0.463701506	0.266666667	0.386752137	4	TRUE	Headsets
AMYZ7UL1UPEWF	B001QTW21Y	1	1	500000	1.058823529	1.705882353	3.521363372	0.8	243	0.642466201	0.6	0.376317924	12	not a review	Headsets
A38HF3TRVGVL49	B001QTW21Y	1	1	500000	0.979795897	0.4	1.58113883	0.6	88	0.497249202	0.075	0.365079365	5	TRUE	Headsets
A250HHH6LNASFA	B001QTW21Y	1	1.464285714	500000	1.068170168	5.658536585	11.10748736	0.8	647	0.642466201	0.4	0.384191772	38	TRUE	Headsets
A1VKBDONSZHDKK	B001QTW21Y	1	1.541666667	500000	1.365867975	2.162162162	10.59056511	0.2	66	0.3132749	0.4	0.397932817	0	not a review	Headsets
A1WU99RI2DTTJZ	B001QTW21Y	1	2.222222222	500000	0.733143915	3.25	15.93718379	0.8	220	0.55175929	0.16	0.395321637	8	not a review	Headsets
A1V5XDKBWSHHX5	B001QTW21Y	1	1.307692308	500000	1.723037472	2.235294118	5.034349467	0.4	562	0.543915976	0.255555556	0.403903904	21		Headsets
A2SOTJUM1545TL	B001QTW21Y	1	1.05	500000	1.715607956	5.285714286	5.628720991	0.2	113	0.515420735	0.4	0.371527778	8		Headsets
A291H4XSTIHHHS	B001QTW21Y	1	1.111111111	500000	1.299038106	14.5	6.133796279	1	164	0.446026322	0.5	0.388888889	5		Headsets
A2MWTF8RTHRLB2	B001QXYM90	2	1.5	96	0.745355992	0.166666667	2.5	0.6	29	0.40511326	0	0.393162393	4	not a review	Unlocked Cell Phones
A2E7CWU7B8IKCS	B001QXYM90	1	1.666666667	500000	1.166190379	1	0.942809042	0.4	23	0	0.3	0.444444444	0		Unlocked Cell Phones
A27Y6CTF4YCXWT	B001QXYM90	4	1.363636364	80	1.445298893	0.2	3.063042834	0.2	43	0	0.5	0.419753086	4		Unlocked Cell Phones
A39X80RZSF8IYF	B001QXYM90	3	5.5	0.25	1.2398347	0.090909091	5.057996968	1	38	0.419742435	0.4	0.374269006	2		Unlocked Cell Phones
A2S8C4QZCBXTIP	B001QXYM90	3	1.545454545	302	1.307418281	1.117647059	4.796046926	0.8	179	0.419742435	0.2	0.36884307	13		Unlocked Cell Phones
A317K67RK7QLTT	B001T2BP9I	1	1.923076923	500000	1.370547336	0.64	5.887907576	0.4	135	0.677600903	0.2	0.408888889	9	not a review	Unlocked Cell Phones
APLNA3IG81MEW	B001T2BP9I	1	2.333333333	500000	1.186660552	0	1.891501461	0.2	28	0.454801117	0.45	0.341880342	1	not a review	Unlocked Cell Phones
A1TIJM7MW4WLXA	B001T2BP9I	2	1.588235294	844	1.729276671	0.555555556	6.063790083	0.2	605	0.677600903	0.4	0.409679618	27		Unlocked Cell Phones
A2HRD9Y3DB5LYQ	B001T2BP9I	1	8.333333333	500000	1.690443729	0.56	5.857568703	1	35	0.389427578	0.466666667	0.407407407	4		Unlocked Cell Phones
A2S8C4QZCBXTIP	B001T2BP9I	3	1.545454545	302	1.307418281	1.117647059	4.796046926	1	200	0.389427578	0.4	0.379547689	6		Unlocked Cell Phones
A16J2L207DI5WU	B001UBB9GM	6	6	0.1	1.885618083	0.166666667	3.16227766	0.2	56	0	0.5	0.444444444	27		Unlocked Cell Phones
A25FDSTIHHAFKX	B001UBB9GM	5	1.617647059	92.75	0.830413618	0.818181818	24.19465825	0.2	35	0.298870318	0.454545455	0.444444444	1		Unlocked Cell Phones
A20DZX38KRBIT8	B001UBB9GM	8	1.31496063	157.2857143	1.811810212	3.209580838	43.02196824	1	24	0.158361516	0.4	0.349206349	0		Unlocked Cell Phones
A3SVAG3JYAYXRB	B001UBB9GM	1	10	500000	0.640312424	0	7.438637868	1	27	0.372934927	0.266666667	0.393162393	0		Unlocked Cell Phones
A2H4P6IHHN5XY7	B001UBB9GM	1	1.666666667	500000	1.496662955	0.4	0.600925213	1	24	0.372934927	0.4	0.290598291	2		Unlocked Cell Phones
ANYC38I00IRVK	B001UBB9GM	2	6.1	134	1.041983514	0.114754098	9.847334665	0.6	28	0.398198905	0.071428571	0.444444444	1		Unlocked Cell Phones
A8SEIMA2Y4KGY	B001UBB9GM	4	1.5	140.6666667	1.885618083	0.166666667	1.802775638	0.2	33	0.236643191	0.64	0.405228758	1		Unlocked Cell Phones
AK8Q0XDUHU74P	B001UBB9GM	3	3.4	269	1.323202574	0.117647059	3.826225294	0.2	4	0	0.484210526	0.444444444	4		Unlocked Cell Phones
A8J7BL7VE31TX	B001UBB9GM	1	5	500000	0	0	0	1	48	0.226546189	0.2	0.262626263	2		Unlocked Cell Phones
A0720622H67YG6H1K33S	B001UBB9GM	3	6	0.25	0	0	0	1	20	0.234260643	0.3375	0.333333333	0		Unlocked Cell Phones
AQBPTV0LICXN2	B001UBB9GM	2	1.666666667	17	0.489897949	0.2	0.971825316	0.8	39	0.268686645	0.155555556	0.383838384	2		Unlocked Cell Phones
A19G4Y9E6M2RX4	B001UBB9GM	1	1.571428571	500000	0.616575453	0.181818182	4.314191106	1	130	0.376356325	0.353846154	0.407914764	8		Unlocked Cell Phones
A1YVFRS8X03MU2	B001UBB9GM	2	2.25	104	0.833333333	0	5.031152949	0.4	36	0.398198905	0.3	0.402777778	2		Unlocked Cell Phones
A2B7F0M9VO1V9L	B001UBB9GM	1	1.153846154	500000	1.388844444	0.133333333	3.990929064	0.2	79	0.246585883	0.8	0.4	0		Unlocked Cell Phones
A1H68U376T61UD	B001UBB9GM	2	1	313	0.372677996	0.5	2.828427125	1	29	0.303894871	0	0.374269006	2		Unlocked Cell Phones
A2NOW4U7W3F7RI	B001UBB9GM	13	2.177664975	58.75	0.68235888	10.3006993	164.7727372	0.6	161	0.320543935	0.06	0.404283802	22		Unlocked Cell Phones
A1DIU5FZD12VSG	B001UBB9GM	3	5	0.25	0.8	0.4	3.464101615	0.6	19	0.244899	0.066666667	0.396825397	1		Unlocked Cell Phones
A32NLVHKGAHF8R	B001UBB9GM	2	2.5	14	0	0	2.5	1	21	0.377964473	0.317647059	0.333333333	2		Unlocked Cell Phones
AA75INOMAHULX	B001UBB9GM	2	5.714285714	206	0.865664485	0.2	15.61625265	1	27	0.377964473	0.383333333	0.341880342	1		Unlocked Cell Phones
A1BY8VZJVSKDHQ	B001UBB9GM	2	8	0.5	1.5	0.5	6.418722614	0.2	59	0.246585883	0.571428571	0.406349206	1		Unlocked Cell Phones
A1ZUAGW01U6UTB	B0023B1364	1	1.785714286	500000	0.917387595	1	6.412280947	1	69	0.385644565	0.183333333	0.398989899	1		Bluetooth Speakers
A1J4YGQ1NY5YE	B0023B1364	1	4.5	500000	0.942809042	4.666666667	6.551081336	1	124	0.526376624	0.19375	0.380517504	4		Bluetooth Speakers
A28J3123I1QDKI	B0023B1364	1	1.541666667	500000	1.33120112	5.648648649	17.20300563	0.6	517	0.640746678	0.1625	0.413793103	27		Bluetooth Speakers
A1XEGGQ3NT1L87	B0023B1364	1	3	500000	1.236482466	0.4	3.521363372	0.8	24	0.223606798	0	0.290598291	0		Bluetooth Speakers
